,benchmark,pre-rel,pre-abs,pre-rel-factor,pre-abs-factor,gappa-abs,gappa-rel,fptaylor-abs,fptaylor-rel
0,sum,,2.665e-14,,1.332e-14,6.661e-15,,4.441e-15,1.011e-15
1,kepler0,,9.534e-13,,6.81e-13,1.982e-13,,1.171e-13,2.434e-15
2,shoelace-formula,,3.997e-09,,1.998e-09,,,,
3,add-assoc,6.661e-16,2.665e-12,4.441e-16,1.776e-12,1.364e-12,0,9.095e-13,2.22e-15
4,himmilbeau,,1.122e-11,,5.986e-12,2e-12,,1.18e-12,
5,sineOrder3,,5.937e-15,,4.241e-15,2.069e-15,,9.206e-16,
6,matrixDeterminant2,,2.265e-11,,6.661e-12,7.006e-12,,3.126e-12,
7,rigidBody1,,9.792e-13,,8.16e-13,5.898e-13,,4.263e-13,
8,delta4,,1.144e-12,,5.004e-13,1.768e-13,,1.154e-13,
9,sqroot,3.775e-15,4.857e-15,1.332e-15,1.735e-15,1.041e-15,1.204e-16,9.714e-16,8.883e-16
10,rigidBody2,,2.035e-10,,1.018e-10,7.213e-11,,4.543e-11,
11,matrixDeterminant,,2.265e-11,,6.661e-12,7.006e-12,,3.126e-12,
12,test01_sum3,,1.431e-05,,7.153e-06,3.576e-06,,2.384e-06,5.427e-07
13,kepler1,,5.944e-12,,2.843e-12,7.456e-13,,3.918e-13,7.654e-15
